confidence,brand,domain,source,other_candidates,slug,seller_page
high,LIONSGATE PLAY,lionsgateplay.com,buyhatke,,lionsgate-play-gift-card,https://buyhatke.com/gift-cards/lionsgate-play-gift-card
high,Live Hindustan,livehindustan.com,gyftr,hindustantimes.com | accounts.hindustantimes.com,live-hindustan,https://www.gyftr.com/live-hindustan
high,Live Hindustan,livehindustan.com,buyhatke,hindustantimes.com | accounts.hindustantimes.com,live-hindustan-gift-card,https://buyhatke.com/gift-cards/live-hindustan-gift-card
high,Live Mint,livemint.com,buyhatke,,live-mint-gift-card,https://buyhatke.com/gift-cards/live-mint-gift-card
high,LOCCITANE,loccitane.com,buyhatke,,loccitane-gift-card,https://buyhatke.com/gift-cards/loccitane-gift-card
high,MakeMyTrip,makemytrip.com,buyhatke,,makemytrip-gift-card,https://buyhatke.com/gift-cards/makemytrip-gift-card
high,Mamaearth,mamaearth.in,gyftr,,mamaearth,https://www.gyftr.com/mamaearth
high,Mamaearth,mamaearth.in,buyhatke,,mamaearth-gift-card,https://buyhatke.com/gift-cards/mamaearth-gift-card
high,Marks and Spencer,marksandspencer.in,buyhatke,,marks-and-spencer-gift-card,https://buyhatke.com/gift-cards/marks-and-spencer-gift-card
high,Matrix,matrix.in,gyftr,,matrix,https://www.gyftr.com/matrix
high,Max Fashion,maxfashion.com,buyhatke,,max-fashion-gift-card,https://buyhatke.com/gift-cards/max-fashion-gift-card
high,Me N Moms,menmoms.in,gyftr,,me-n-moms,https://www.gyftr.com/me-n-moms
high,Me N Moms,menmoms.in,maximize,,me-n-moms,https://www.maximize.money/gift-cards/Me N Moms/753
high,Mediwheel,mediwheel.in,gyftr,,mediwheel,https://www.gyftr.com/mediwheel
high,Mediwheel,mediwheel.in,buyhatke,,mediwheel-gift-card,https://buyhatke.com/gift-cards/mediwheel-gift-card
high,Milton,milton.in,buyhatke,,milton-gift-card,https://buyhatke.com/gift-cards/milton-gift-card
high,Minus30,minus30.co,gyftr,,minus30,https://www.gyftr.com/minus30
high,Minus30,minus30.co,maximize,,minus30,https://www.maximize.money/gift-cards/Minus30/1015
high,Mokobara,mokobara.com,maximize,,mokobara,https://www.maximize.money/gift-cards/Mokobara/622
high,Mokobara,mokobara.com,buyhatke,,mokobara-gift-card,https://buyhatke.com/gift-cards/mokobara-gift-card
high,Muscle Blaze,muscleblaze.com,maximize,,muscle-20blaze,https://www.maximize.money/gift-cards/Muscle%20Blaze/1126
high,MXPlayer,mxplayer.in,buyhatke,,mxplayer-gift-card,https://buyhatke.com/gift-cards/mxplayer-gift-card
high,Myntra,myntra.com,gyftr,,myntra,https://www.gyftr.com/myntra
high,Myntra,myntra.com,buyhatke,,myntra-gift-card,https://buyhatke.com/gift-cards/myntra-gift-card
high,Nat Habit,nathabit.in,gyftr,,nat-habit,https://www.gyftr.com/nat-habit
high,Nat Habit,nathabit.in,buyhatke,,nat-habit-gift-card,https://buyhatke.com/gift-cards/nat-habit-gift-card
high,Natures Basket,naturesbasket.co.in,buyhatke,,natures-basket-gift-card,https://buyhatke.com/gift-cards/natures-basket-gift-card
