brand,domain,sellers,how_decided
Kiehl s,kiehls.in,buyhatke,auto: name in address
Kimirica,kimirica.shop,buyhatke;gyftr;maximize,auto: name in address
Klook,klook.com,buyhatke;gyftr,auto: name in address
Leaf Studios,leafstudios.in,buyhatke,auto: name in address
Lee,lee.in,buyhatke,auto: name in address
Lee 3 Day Wait,lee.in,buyhatke,auto: name in address
Lego,lego.mybrickhouse.com,gyftr,checked by hand
LENSKART,lenskart.com,gyftr,auto: name in address
Lenskart 3 Day Wait,lenskart.com,buyhatke,auto: name in address
Levis,levi.in,buyhatke;gyftr,auto: name in address
Libas,libas.in,gyftr,auto: name in address
Liberty,libertyshoesonline.com,buyhatke,auto: name in address
Liberty Online,libertyshoesonline.com,gyftr;maximize,auto: name in address
Lifestyle,lifestylestores.com,buyhatke,auto: name in address
Lifestyle Online,lifestylestores.com,gyftr;maximize,auto: name in address
Lionsgate Play,lionsgateplay.com,buyhatke;gyftr;maximize,auto: name in address
Live Hindustan,livehindustan.com,buyhatke;gyftr,auto: name in address
Live Mint,livemint.com,buyhatke,auto: name in address
LOCCITANE,loccitane.com,buyhatke,auto: name in address
Lohono Stays,lohono.com,buyhatke;gyftr;maximize,auto: name in address
Love Beauty Planet,lovebeautyandplanet.in,buyhatke,auto: name in address
"LUZO - Salons, Spas, Clinics",luzo.app,gyftr,auto: name in address
MakeMyTrip,nmakemytrip.com,maximize,auto: name in address
MakeMyTrip,makemytrip.com,buyhatke,auto: name in address
MakeMyTrip Bus,makemytrip.com,buyhatke;maximize,auto: name in address
MakeMyTrip Cab,makemytrip.com,maximize,auto: name in address
MakeMyTrip e-Pay,makemytrip.com,gyftr;maximize,auto: name in address
Makemytrip Holiday,makemytrip.com,maximize,auto: name in address
MakeMyTrip Holiday E Pay,makemytrip.com,gyftr;maximize,auto: name in address
MakeMyTrip Holidays,makemytrip.com,buyhatke,auto: name in address
Makemytrip Hotel,makemytrip.com,buyhatke;maximize,auto: name in address
MakeMyTrip Hotel E Pay,makemytrip.com,gyftr;maximize,auto: name in address
MakeMyTrip International,makemytrip.com,maximize,auto: name in address
MakeMyTrip Rail,makemytrip.com,buyhatke;maximize,auto: name in address
Malabar Diamond (Custom),malabargoldanddiamonds.com,maximize,auto: name in address
Malabar Diamonds,malabargoldanddiamonds.com,buyhatke,auto: name in address
Malabar Diamonds,malabargoldanddiamonds.co,gyftr,auto: name in address
Malabar Diamonds 1 Day Wait,malabargoldanddiamonds.com,buyhatke,auto: name in address
Malabar Gold Coin,malabargoldanddiamonds.com,gyftr;maximize,auto: name in address
Malabar Gold Jewellery,malabargoldanddiamonds.com,buyhatke,auto: name in address
Malabar Jewellery,malabargoldanddiamonds.com,gyftr,auto: name in address
Mamaearth,mamaearth.in,buyhatke;gyftr,auto: name in address
Maple,maplestore.in,buyhatke,auto: name in address
Marks & Spencer,marksandspencer.in,gyftr;maximize,auto: name in address
Marks and Spencer,marksandspencer.in,buyhatke,auto: name in address
Matrix,matrix.in,gyftr,auto: name in address
Max Fashion,maxfashion.com,buyhatke,auto: name in address
Max Fashion Online,maxfashion.com,gyftr,auto: name in address
McDonalds,mcdonaldsindia.com,buyhatke,auto: name in address
Me N Moms,menmoms.in,gyftr;maximize,auto: name in address
Mediwheel,mediwheel.in,buyhatke;gyftr,auto: name in address
Microsoft Office,microsoft.com,gyftr,auto: name in address
Microsoft Office,office.com,maximize,auto: name in address
Microsoft Xbox Game Pass Core,microsoft.com,buyhatke,auto: name in address
Microsoft Xbox Game Pass Core,xbox.com,gyftr,auto: name in address
Microsoft Xbox PC Game Pass,microsoft.com,gyftr,auto: name in address
Milton,milton.in,buyhatke,auto: name in address
Minecraft Minecoins,minecraft.net,buyhatke,auto: name in address
Minus30,minus30.co,gyftr;maximize,auto: name in address
Miraggio,miraggiolife.com,maximize,auto: name in address
Mokobara,mokobara.com,buyhatke;maximize,auto: name in address
MS Xbox Game Pass Ultimate,xbox.com,gyftr,auto: name in address
Muscle Blaze,muscleblaze.com,maximize,auto: name in address
Muthoot Gold,muthoot.com,buyhatke,auto: name in address
Muthoot Gold Voucher,muthoot.com,gyftr;maximize,auto: name in address
MXPlayer,mxplayer.in,buyhatke,auto: name in address
Myntra,myntra.com,buyhatke;gyftr,auto: name in address
myUpchar Medicines,myupchar.com,buyhatke,auto: name in address
Nat Habit,nathabit.in,buyhatke;gyftr,auto: name in address
Natures Basket,naturesbasket.co.in,buyhatke,auto: name in address
Neeman's,neemans.com,gyftr;maximize,auto: name in address
Netmeds,netmeds.com,buyhatke;gyftr;maximize,auto: name in address
Nilkamal Homes,nilkamalhomes.com,maximize,auto: name in address
Nintendo,nintendo.com,buyhatke,auto: name in address
Nintendo eShop Voucher,nintendo.com,gyftr,auto: name in address
Nintendo Shop,nintendo.com,maximize,auto: name in address
Nua Woman,nuawoman.com,gyftr,auto: name in address
Nua Women,nuawoman.com,buyhatke;maximize,auto: name in address
Nykaa,nykaa.com,buyhatke;gyftr,auto: name in address
Nykaa (Custom),nykaa.com,maximize,auto: name in address
Nykaa Fashion,nykaa.com,gyftr,auto: name in address
Nykaa Fashion,nykaafashion.com,buyhatke;maximize,auto: name in address
Nykaa LUXE,nykaa.com,buyhatke,auto: name in address
Nykaa Man,nykaaman.com,buyhatke;gyftr,auto: name in address
Nykaa Men,nykaaman.com,maximize,checked by hand
Oberoi Hotels Resorts,oberoihotels.com,buyhatke,auto: name in address
OLA CABS,olacabs.com,buyhatke;gyftr,auto: name in address
Origin Nutrition,originnutrition.in,buyhatke,auto: name in address
Ornaz,ornaz.com,buyhatke,auto: name in address
OTTplay,ottplay.com,buyhatke,auto: name in address
