"Merchant","Category","Campaign Type","Payout Structure","Campaign Status","Tracking Link"
"Truemeds","Medical & Healthcare","CPS","Upto ₹272 / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.truemeds.in/"
"Truloom","Fashion","CPS","Flat 32% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://truloom.in/"
"Tupperware","Home & Kitchen","CPS","Flat 11.2% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://shoptupperware.in/"
"Two Brothers","Food & Grocery","CPS","Flat 14.4% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://twobrothersindiashop.com/"
"Uber","Travel","CPS","Flat ₹120 / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.uber.com"
"Udemy","Education","CPS","Flat 4.88% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.udemy.com/"
"UltaHost","Domain & Hosting","CPS","Flat 38.4% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://ultahost.com/"
"Unacademy","Education","CPR","Upto ₹20.24 / Register
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpr&url=https://app.appsflyer.com/com.unacademyapp"
"Uni Card","Banking & Finance","CPA","Upto  ₹288 / Action
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpa&url=https://www.uni.cards/"
"Uniqlo","Fashion","CPS","Flat 1.36% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.uniqlo.com/in/en/"
"UpGrad","Education,Online Services","CPS","Flat ₹560 / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.upgrad.com/"
"Uppercase","Fashion","CPS","Flat 17.6% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://uppercase.co.in/"
"Upstox Web","Banking & Finance","CPL","Upto  ₹250 / Lead
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpl&url=https://upstox.com/open-demat-account/"
"Urban Ladder","Home & Kitchen","CPS","Flat 4.4% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.urbanladder.com"
"Urbanic","Fashion","CPS","Upto 10.84% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://in.urbanic.com/"
"Valued Opinions","Services","CPL","Flat ₹128 / Lead
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpl&url=https://www.valuedopinions.co.in"
"Veda Oil","Health & Beauty","CPS","Flat 5.6% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.vedaoils.com/"
"Vi Postpaid","Online Services","CPL","Flat ₹800 / Lead
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpl&url=https://www.myvi.in/new-connection/user-details"
"Viagogo","Entertainment","CPS","Flat 4.76% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.viagogo.com/"
"Victoria Secret","Fashion,Health & Beauty","CPS","Flat 2.8% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.victoriassecret.in/"
"Vijay Sales","Electronics","CPS","Upto 3.2% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.vijaysales.com"
"Vision 11 CPR","Gaming","CPR","Upto  ₹27 / Register
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpr&url=https://www.vision11.in/"
"Vooglam","Fashion","CPS","Upto 9.04% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.vooglam.com/"
"Voyage Eyewear","Fashion","CPS","Flat 20% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.voyageeyewear.com/"
"Watcho","Entertainment","CPS","Upto 54.4% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://plans-offers.watcho.com/promo/watcho-max-flexi-monthly-with-bogo"
"Watchout Wearables","Fashion","CPS","Flat 9.6% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.watchoutwearables.com/"
"Wellbeing Nutrition","Health & Beauty","CPS","Upto 14% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://wellbeingnutrition.com/"
"Wellify","Baby & Kids,Health & Beau..","CPS","Flat 9.6% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://wellify.in/"
"Whirlpool","Electronics","CPS","Upto 3.2% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://india.whirlpool.in/"
"Winzo","Gaming","CPR","Upto ₹48 / Register
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpr&url=https://www.winzogames.com/"
"Wonderchef","Home & Kitchen","CPS","Flat 11.2% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.wonderchef.com/"
"Xiaomi","Electronics","CPS","Upto 4.48% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.mi.com/in/product/xiaomi-14-civi"
"Yatra (Hotel and Flights)","Travel","CPS","Upto ₹70 / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.yatra.com/"
"Yes Bank Credit Card","Banking & Finance","CPL","Flat ₹1440 / Lead
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpl&url=https://applycc.yesbank.in/YESBankCreditCard/"
"Yes Bank POP CC","Banking & Finance","CPL","Upto  ₹1610 / Lead
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpl&url=https://applyonline.getpopcard.co/"
"Yes Bank Saving","Banking & Finance","CPL","Flat ₹240 / Lead
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpl&url=https://yesrapido.yesbank.in/sdcss/d/retail-banking/account-opening/savings"
"Zebronics","Electronics","CPS","Flat 2.4% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://shop.zebronics.com/"
"Zivame","Fashion","CPS","Flat 10.4% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.zivame.com/sales.html"
"Zoff Foods","Food & Grocery","CPS","Flat 28.8% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://zofffoods.com"
"Zomato","Food & Grocery","CPA","Flat ₹56 / Action
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpa&url=https://www.zomato.com/"
"Zop","Electronics,Fashion,Home..","CPS","Upto 9.6% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.zop.in"
"Zouk","Fashion","CPS","Upto 7.14% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://zouk.co.in/"
