Brand Name,Slug,Redemption Type,Default Discount %,Best Discount %,Payment Method for Best Discount,Denominations Available,Online/Offline,T&Cs Summary
NEXT,next,OFF,6,6,PAYTM UPI,1000 / 2000 / 5000 / 10000 / 100-10000 (custom),Offline,GV/ e-Pay is Accepted at all Listed Outlets. GV/e-Pay can be clubbed with the existing offers. Multi
Mango,mango,OFF,6,6,PAYTM UPI,500 / 1000 / 2000 / 5000 / 10000 / 100-10000 (custom),Offline,GV/ e-Pay is Accepted at all Listed Outlets. GV/e-Pay can be clubbed with the existing offers. Multi
Zoomcar,zoomcar,ON,9,10,UPI,500 / 1000 / 2500 / 5000,Online,GV/GC will be accepted only online on the Zoomcar mobile application. This is a one-time use GV/GC. 
STYLE BAAZAR,style-bazaar,OFF,6,6,PAYTM UPI,250 / 500 / 1000 / 2000 / 100-10000 (custom),Offline,This is a Style Baazar GV/e-Pay that will be accepted at the listed retail stores/outlets. The GV/e-
Soulflower,soulflower,ON,17,17,PAYTM UPI,500 / 1000 / 2000 / 5000 / 10000 / 100-10000 (custom),Online,This is a Soulflower GV/e-Pay that will be accepted on the website: soulflower.in The GV/e-Pay can b
Elivaas,elivaas,ON,13,13,PAYTM UPI,1000 / 2000 / 2500 / 5000 / 7500 / 10000,Online,GV/e-Pay will be accepted on the mobile app and on the website. GV/e-Pay can be clubbed with the exi
Palmonas,palmonas,ON,13,13,PAYTM UPI,500 / 1000 / 2000 / 100-10000 (custom),Online,The GV/e-Pay that will be accepted on the Palmonas website. The GV/e-Pay can be clubbed with the exi
Columbia Sportswear,columbia-sportswear,OFF,13,13,PAYTM UPI,500 / 1000 / 2000 / 5000 / 10000 / 100-10000 (custom),Offline,"Columbia Sports GV(Gift Voucher)/e-Pay, and can be redeemed at all the listed retail outlets of Colu"
Minus30,minus30,ON,17,17,PAYTM UPI,50 / 250 / 500 / 1000 / 2000 / 2500 / 100-10000 (custom),Online,The Gift Voucher/e-Pay would only be accepted on the Minus 30 website at https://minus30.co/. Multip
Pronto,pronto,ON,14,14,PAYTM UPI,100 / 250 / 500 / 750 / 1000 / 1500 / 2000 / 100-10000 (custom),Online,Pronto GV (Gift Voucher)/e-Pay that will be accepted on the Pronto App. GV/e-Pay cannot be clubbed w
Cordelia,cordelia,ON,13,13,PAYTM UPI,1000 / 2500 / 3000 / 5000 / 7500 / 10000 / 100-10000 (custom),Online,Gift Vouchers/e-Pay CAN only be used on the Cordelia website. Gift Vouchers/e-Pay CAN be clubbed wit
KALKI,kalki,B,13,13,PAYTM UPI,500 / 1000 / 2000 / 2500 / 5000 / 100-10000 (custom),Both,
